"","client_id","birth_number","district_id","client_age","gender"
"69",73,"240220",22,93,"M"
"70",74,"255726",22,92,"F"
"71",75,"775919",64,40,"F"
"72",76,"676001",36,50,"F"
"73",77,"565218",1,61,"F"
"74",78,"445613",16,73,"F"
"75",79,"695310",37,48,"F"
"76",80,"795225",64,38,"F"
"77",81,"760429",8,41,"M"
"78",82,"796225",8,38,"F"
"79",83,"786225",1,39,"F"
"80",84,"790505",1,38,"M"
"81",85,"610827",1,56,"M"
"82",86,"695720",1,48,"F"
"83",87,"466117",72,71,"F"
"84",89,"515505",1,66,"F"
"85",90,"750817",52,42,"M"
"86",91,"400807",63,77,"M"
"87",92,"665612",74,51,"F"
"88",93,"250216",3,92,"M"
"89",94,"470909",43,70,"M"
"90",95,"525803",43,65,"F"
"91",96,"720229",74,45,"M"
"92",97,"651128",26,52,"M"
"93",98,"735504",33,44,"F"
"94",99,"730126",33,44,"M"
"95",100,"425811",44,75,"F"
"96",101,"430123",68,74,"M"
"97",102,"585910",74,59,"F"
"98",103,"550711",74,62,"M"
"99",105,"800526",31,37,"M"
"100",106,"686230",68,49,"F"
"101",107,"720623",1,45,"M"
"102",108,"630913",17,54,"M"
"103",110,"675413",2,50,"F"
"104",112,"350125",1,82,"M"
"105",113,"405815",1,77,"F"
"106",114,"695624",74,48,"F"
"107",115,"691224",74,48,"M"
"108",116,"420128",74,75,"M"
"109",117,"365920",74,81,"F"
"110",118,"220719",55,95,"M"
"111",119,"225228",55,95,"F"
"112",120,"760510",1,41,"M"
"113",121,"786029",41,39,"F"
"114",122,"636113",35,54,"F"
"115",123,"690212",11,48,"M"
"116",124,"670921",44,50,"M"
"117",125,"361031",37,81,"M"
"118",126,"295927",37,88,"F"
"119",127,"506227",21,67,"F"
"120",128,"735404",63,44,"F"
"121",129,"475531",64,70,"F"
"122",130,"420214",53,75,"M"
"123",131,"775131",53,40,"F"
"124",132,"530126",36,64,"M"
"125",134,"320118",6,85,"M"
"126",135,"385910",6,79,"F"
"127",136,"215126",55,96,"F"
"128",137,"230914",60,94,"M"
"129",138,"726021",54,45,"F"
"130",139,"595725",8,58,"F"
"131",140,"610606",8,56,"M"
"132",141,"251102",31,92,"M"
"133",142,"370621",68,80,"M"
"134",143,"780709",27,39,"M"
"135",144,"581206",65,59,"M"
"136",145,"780214",55,39,"M"
"137",146,"616219",31,56,"F"
"138",147,"336102",21,84,"F"
"139",148,"401225",21,77,"M"
"140",149,"480627",55,69,"M"
"141",150,"805927",2,37,"F"
"142",151,"715923",51,46,"F"
"143",152,"456202",29,72,"F"
"144",153,"815212",13,36,"F"
"145",154,"330827",74,84,"M"
"146",155,"395313",74,78,"F"
"147",156,"305722",54,87,"F"
"148",157,"435709",52,74,"F"
"149",158,"455703",40,72,"F"
"150",159,"380910",40,79,"M"
"151",160,"425426",64,75,"F"
"152",161,"436007",34,74,"F"
"153",162,"411017",65,76,"M"
"154",163,"330612",74,84,"M"
"155",164,"625404",70,55,"F"
"156",165,"681108",22,49,"M"
"157",166,"616022",22,56,"F"
"158",167,"785418",38,39,"F"
"159",168,"766105",24,41,"F"
"160",169,"530912",38,64,"M"
"161",170,"465616",38,71,"F"
"162",171,"290625",51,88,"M"
"163",172,"356005",51,82,"F"
"164",173,"186208",21,99,"F"
"165",174,"781110",10,39,"M"
"166",175,"600713",31,57,"M"
"167",176,"290311",4,88,"M"
"168",178,"601222",8,57,"M"
"169",179,"801229",43,37,"M"
"170",180,"820119",73,35,"M"
"171",181,"670706",76,50,"M"
"172",182,"595713",76,58,"F"
"173",183,"785319",1,39,"F"
"174",184,"720605",1,45,"M"
"175",185,"540530",77,63,"M"
"176",186,"615222",46,56,"F"
"177",187,"420823",58,75,"M"
"178",188,"600902",64,57,"M"
"179",189,"190810",11,98,"M"
"180",190,"476031",37,70,"F"
"181",191,"540903",37,63,"M"
"182",192,"710228",70,46,"M"
"183",193,"620501",1,55,"M"
"184",194,"246220",28,93,"F"
"185",195,"191118",74,98,"M"
"186",196,"275625",74,90,"F"
"187",197,"330425",30,84,"M"
"188",198,"760714",60,41,"M"
"189",199,"230621",29,94,"M"
"190",200,"285113",29,89,"F"
"191",201,"305819",17,87,"F"
"192",202,"766121",29,41,"F"
"193",203,"620610",31,55,"M"
"194",204,"675617",31,50,"F"
"195",205,"425615",4,75,"F"
"196",206,"635413",59,54,"F"
"197",207,"320520",46,85,"M"
"198",208,"405625",13,77,"F"
"199",209,"350820",13,82,"M"
"200",210,"391130",66,78,"M"
"201",211,"455628",66,72,"F"
"202",212,"750210",52,42,"M"
"203",215,"670924",71,50,"M"
"204",216,"600130",1,57,"M"
"205",217,"746222",59,43,"F"
"206",218,"805123",1,37,"F"
"207",219,"645402",60,53,"F"
"208",221,"775225",21,40,"F"
"209",222,"725629",47,45,"F"
"210",223,"525227",43,65,"F"
"211",224,"550511",77,62,"M"
"212",225,"360510",32,81,"M"
"213",226,"420616",1,75,"M"
"214",227,"266218",52,91,"F"
"215",228,"565316",48,61,"F"
"216",229,"690722",76,48,"M"
"217",230,"675310",74,50,"F"
"218",231,"410218",41,76,"M"
"219",232,"215617",55,96,"F"
"220",233,"586203",69,59,"F"
"221",234,"550621",69,62,"M"
"222",235,"435828",44,74,"F"
"223",236,"610901",70,56,"M"
"224",237,"695222",70,48,"F"
"225",238,"616128",6,56,"F"
"226",239,"745910",1,43,"F"
"227",240,"295617",34,88,"F"
"228",241,"590123",70,58,"M"
"229",242,"615801",17,56,"F"
"230",243,"540210",63,63,"M"
"231",246,"706228",67,47,"F"
"232",247,"570508",1,60,"M"
"233",248,"696212",61,48,"F"
"234",249,"700505",61,47,"M"
"235",250,"796125",8,38,"F"
"236",251,"765303",54,41,"F"
"237",252,"695901",37,48,"F"
"238",253,"475512",48,70,"F"
"239",254,"630530",28,54,"M"
"240",255,"516011",27,66,"F"
"241",256,"635227",73,54,"F"
"242",257,"426104",22,75,"F"
"243",258,"370531",22,80,"M"
"244",259,"660608",31,51,"M"
"245",260,"625224",31,55,"F"
"246",261,"376207",38,80,"F"
"247",262,"451125",77,72,"M"
"248",263,"620520",68,55,"M"
"249",264,"780822",28,39,"M"
"250",265,"335107",72,84,"F"
"251",266,"675828",19,50,"F"
"252",267,"670612",37,50,"M"
"253",268,"825502",39,35,"F"
"254",269,"236203",15,94,"F"
"255",270,"470308",46,70,"M"
"256",271,"455727",46,72,"F"
"257",272,"446025",70,73,"F"
"258",273,"725515",27,45,"F"
"259",274,"706125",17,47,"F"
"260",275,"186112",1,99,"F"
"261",276,"570611",1,60,"M"
"262",277,"616128",1,56,"F"
"263",278,"726227",22,45,"F"
"264",279,"700516",22,47,"M"
"265",280,"696218",45,48,"F"
"266",282,"385224",73,79,"F"
"267",283,"331104",73,84,"M"
"268",284,"740806",10,43,"M"
"269",285,"540603",72,63,"M"
"270",286,"525418",72,65,"F"
"271",287,"800909",50,37,"M"
"272",288,"620421",6,55,"M"
"273",289,"580327",54,59,"M"
"274",290,"590112",72,58,"M"
"275",291,"555427",72,62,"F"
"276",292,"585906",15,59,"F"
"277",293,"430927",69,74,"M"
"278",294,"680321",58,49,"M"
"279",295,"390327",12,78,"M"
"280",296,"740301",65,43,"M"
"281",297,"245315",65,93,"F"
"282",298,"210613",65,96,"M"
"283",300,"575730",1,60,"F"
"284",301,"420110",28,75,"M"
"285",302,"710223",56,46,"M"
"286",303,"460506",74,71,"M"
"287",304,"345311",19,83,"F"
"288",305,"380608",46,79,"M"
"289",308,"765612",68,41,"F"
"290",309,"696214",37,48,"F"
"291",310,"500416",11,67,"M"
"292",311,"305916",64,87,"F"
"293",312,"240703",2,93,"M"
"294",313,"425511",24,75,"F"
"295",314,"450322",24,72,"M"
"296",315,"670501",54,50,"M"
"297",316,"550428",75,62,"M"
"298",317,"576006",64,60,"F"
"299",318,"435402",15,74,"F"
"300",319,"295404",19,88,"F"
"301",320,"341112",19,83,"M"
"302",321,"436024",47,74,"F"
"303",322,"330201",38,84,"M"
"304",323,"385404",38,79,"F"
"305",324,"601203",3,57,"M"
"306",325,"600221",3,57,"M"
"307",326,"675918",27,50,"F"
"308",327,"681013",27,49,"M"
"309",328,"185124",1,99,"F"
"310",329,"641203",11,53,"M"
"311",330,"445805",65,73,"F"
"312",331,"420302",1,75,"M"
"313",332,"780725",29,39,"M"
"314",333,"711019",38,46,"M"
"315",334,"691031",32,48,"M"
"316",335,"675722",73,50,"F"
"317",336,"645211",39,53,"F"
"318",337,"570508",39,60,"M"
"319",338,"515619",8,66,"F"
"320",339,"660730",1,51,"M"
"321",340,"705819",1,47,"F"
"322",341,"770316",69,40,"M"
"323",342,"725630",69,45,"F"
"324",343,"191119",44,98,"M"
"325",344,"635716",54,54,"F"
"326",345,"531207",17,64,"M"
"327",346,"606102",17,57,"F"
"328",347,"591213",71,58,"M"
"329",348,"535124",71,64,"F"
"330",349,"275527",39,90,"F"
"331",350,"255402",25,92,"F"
"332",351,"730501",1,44,"M"
"333",352,"400827",56,77,"M"
"334",353,"651026",7,52,"M"
"335",354,"225427",49,95,"F"
"336",355,"300531",49,87,"M"
"337",356,"796207",1,38,"F"
"338",357,"790330",1,38,"M"
"339",358,"595626",7,58,"F"
"340",359,"700216",66,47,"M"
"341",360,"430427",49,74,"M"
"342",361,"775525",74,40,"F"
"343",362,"505427",35,67,"F"
"344",363,"420701",35,75,"M"
"345",364,"426205",54,75,"F"
"346",365,"300109",1,87,"M"
"347",366,"366110",1,81,"F"
"348",367,"635903",60,54,"F"
"349",368,"681014",60,49,"M"
"350",369,"306106",7,87,"F"
"351",370,"565105",71,61,"F"
"352",371,"420716",4,75,"M"
"353",372,"320403",34,85,"M"
"354",373,"360228",16,81,"M"
"355",374,"670614",26,50,"M"
"356",375,"695929",61,48,"F"
"357",376,"735108",14,44,"F"
"358",378,"780515",50,39,"M"
"359",379,"836013",50,34,"F"
"360",380,"730119",41,44,"M"
"361",381,"775126",73,40,"F"
"362",382,"780630",73,39,"M"
"363",383,"395517",15,78,"F"
"364",384,"351008",15,82,"M"
"365",385,"480324",45,69,"M"
"366",386,"800821",62,37,"M"
"367",387,"270606",76,90,"M"
"368",388,"506030",36,67,"F"
"369",389,"745630",47,43,"F"
"370",390,"775127",47,40,"F"
"371",391,"335522",47,84,"F"
"372",392,"505401",74,67,"F"
"373",393,"560831",74,61,"M"
"374",394,"245518",52,93,"F"
"375",395,"190705",52,98,"M"
"376",396,"200502",1,97,"M"
"377",397,"300327",75,87,"M"
"378",398,"255326",61,92,"F"
"379",399,"520414",45,65,"M"
"380",400,"331227",1,84,"M"
"381",401,"286119",1,89,"F"
"382",402,"431225",3,74,"M"
"383",403,"735526",42,44,"F"
"384",404,"670420",42,50,"M"
"385",405,"346019",65,83,"F"
"386",406,"770515",36,40,"M"
"387",407,"755527",73,42,"F"
"388",408,"785222",35,39,"F"
"389",409,"250618",74,92,"M"
"390",410,"621220",62,55,"M"
"391",411,"415414",17,76,"F"
"392",412,"440417",17,73,"M"
"393",413,"726118",49,45,"F"
"394",414,"476019",46,70,"F"
"395",415,"450401",46,72,"M"
"396",416,"326007",1,85,"F"
"397",417,"300610",1,87,"M"
"398",418,"661013",28,51,"M"
"399",419,"706007",64,47,"F"
"400",420,"780313",18,39,"M"
"401",421,"650731",54,52,"M"
"402",422,"461207",69,71,"M"
"403",423,"570623",37,60,"M"
"404",424,"471008",1,70,"M"
"405",425,"480212",25,69,"M"
"406",426,"370601",72,80,"M"
"407",427,"415914",72,76,"F"
"408",428,"196116",47,98,"F"
"409",429,"815120",50,36,"F"
"410",430,"200728",39,97,"M"
"411",431,"276001",24,90,"F"
"412",432,"525326",59,65,"F"
"413",433,"550207",62,62,"M"
"414",434,"435130",70,74,"F"
"415",435,"671023",20,50,"M"
"416",436,"550615",2,62,"M"
"417",437,"205117",11,97,"F"
"418",438,"380928",32,79,"M"
"419",439,"685912",51,49,"F"
"420",440,"705707",15,47,"F"
"421",441,"590914",1,58,"M"
"422",442,"716216",1,46,"F"
"423",443,"711220",1,46,"M"
"424",444,"605801",74,57,"F"
"425",445,"475427",1,70,"F"
"426",446,"520319",1,65,"M"
"427",447,"460904",23,71,"M"
"428",448,"705815",77,47,"F"
"429",450,"531127",25,64,"M"
"430",451,"790414",12,38,"M"
"431",452,"536022",55,64,"F"
"432",453,"690716",67,48,"M"
"433",454,"495615",38,68,"F"
"434",455,"200726",68,97,"M"
"435",456,"400228",25,77,"M"
"436",457,"500926",70,67,"M"
"437",458,"610724",68,56,"M"
"438",459,"675723",32,50,"F"
"439",461,"705813",68,47,"F"
"440",462,"701221",14,47,"M"
"441",463,"440405",38,73,"M"
"442",464,"595730",24,58,"F"
"443",465,"520901",5,65,"M"
"444",466,"476119",1,70,"F"
"445",467,"500417",1,67,"M"
"446",468,"590427",72,58,"M"
"447",469,"706013",59,47,"F"
"448",470,"545421",30,63,"F"
"449",471,"770111",44,40,"M"
"450",472,"811227",36,36,"M"
"451",473,"395925",1,78,"F"
"452",474,"490531",46,68,"M"
"453",476,"475601",1,70,"F"
"454",477,"540720",1,63,"M"
"455",478,"780621",21,39,"M"
"456",479,"470820",11,70,"M"
"457",480,"465124",11,71,"F"
"458",481,"270122",69,90,"M"
"459",482,"345122",69,83,"F"
"460",483,"440619",1,73,"M"
"461",484,"595913",28,58,"F"
"462",485,"780516",32,39,"M"
"463",486,"440412",68,73,"M"
"464",487,"225401",1,95,"F"
"465",488,"170802",1,100,"M"
"466",489,"401007",41,77,"M"
"467",490,"501023",55,67,"M"
"468",491,"660805",63,51,"M"
"469",492,"351026",72,82,"M"
"470",493,"425604",41,75,"F"
"471",494,"800519",1,37,"M"
"472",495,"375407",49,80,"F"
"473",496,"515521",70,66,"F"
"474",497,"530202",74,64,"M"
"475",498,"485115",74,69,"F"
"476",499,"355708",18,82,"F"
"477",500,"710106",1,46,"M"
"478",501,"371028",62,80,"M"
"479",502,"191208",6,98,"M"
"480",503,"590724",73,58,"M"
"481",504,"790801",36,38,"M"
"482",505,"771221",13,40,"M"
"483",506,"460816",75,71,"M"
"484",507,"541116",75,63,"M"
"485",508,"710428",53,46,"M"
"486",509,"800502",73,37,"M"
"487",510,"760415",12,41,"M"
"488",511,"590218",9,58,"M"
"489",512,"655803",60,52,"F"
"490",513,"745111",8,43,"F"
"491",514,"681115",8,49,"M"
"492",515,"320526",1,85,"M"
"493",516,"305427",1,87,"F"
"494",517,"650725",63,52,"M"
"495",518,"795428",54,38,"F"
"496",519,"800413",18,37,"M"
"497",520,"475927",46,70,"F"
"498",521,"751225",69,42,"M"
"499",522,"565304",1,61,"F"
"500",523,"221217",38,95,"M"
"501",524,"635102",30,54,"F"
"502",525,"690814",30,48,"M"
"503",526,"640201",43,53,"M"
"504",527,"665818",43,51,"F"
"505",528,"770211",37,40,"M"
"506",529,"781105",69,39,"M"
"507",530,"575927",29,60,"F"
"508",531,"761004",27,41,"M"
"509",532,"805903",27,37,"F"
"510",533,"415519",54,76,"F"
"511",534,"570722",74,60,"M"
"512",535,"370909",26,80,"M"
"513",536,"390825",47,78,"M"
"514",537,"350116",1,82,"M"
"515",538,"485510",5,69,"F"
"516",540,"210728",19,96,"M"
"517",541,"275309",19,90,"F"
"518",542,"215209",59,96,"F"
"519",543,"585415",11,59,"F"
"520",544,"481116",63,69,"M"
"521",545,"736011",75,44,"F"
"522",546,"530825",7,64,"M"
"523",547,"490331",54,68,"M"
"524",548,"371204",49,80,"M"
"525",550,"611130",7,56,"M"
"526",551,"765705",47,41,"F"
"527",552,"345508",1,83,"F"
"528",553,"410407",1,76,"M"
"529",554,"255419",30,92,"F"
"530",555,"261021",30,91,"M"
"531",556,"460708",29,71,"M"
"532",557,"390717",51,78,"M"
"533",558,"205705",43,97,"F"
"534",559,"725905",32,45,"F"
"535",560,"676216",71,50,"F"
"536",561,"626110",74,55,"F"
"537",562,"755922",49,42,"F"
"538",563,"615909",72,56,"F"
"539",564,"550124",72,62,"M"
"540",565,"595703",64,58,"F"
"541",566,"465305",47,71,"F"
"542",567,"500502",47,67,"M"
"543",568,"605719",8,57,"F"
"544",569,"620615",73,55,"M"
"545",570,"415131",61,76,"F"
"546",571,"240927",3,93,"M"
"547",572,"205804",3,97,"F"
"548",573,"670810",69,50,"M"
"549",574,"721225",1,45,"M"
"550",575,"700404",58,47,"M"
"551",576,"745512",58,43,"F"
"552",577,"636205",1,54,"F"
"553",578,"775707",23,40,"F"
"554",579,"335531",72,84,"F"
"555",581,"495204",70,68,"F"
"556",582,"500926",1,67,"M"
"557",583,"655101",75,52,"F"
"558",584,"765513",33,41,"F"
"559",585,"425221",40,75,"F"
"560",586,"471103",40,70,"M"
"561",587,"455708",25,72,"F"
"562",588,"606020",61,57,"F"
"563",589,"610917",45,56,"M"
"564",590,"490215",44,68,"M"
"565",591,"746029",65,43,"F"
"566",592,"650718",26,52,"M"
"567",593,"545710",60,63,"F"
"568",596,"481024",69,69,"M"
"569",597,"430222",55,74,"M"
"570",598,"701231",1,47,"M"
"571",599,"775518",1,40,"F"
"572",601,"660312",56,51,"M"
"573",602,"655116",56,52,"F"
"574",603,"665309",13,51,"F"
"575",604,"655731",1,52,"F"
"576",605,"705827",1,47,"F"
"577",606,"495125",10,68,"F"
"578",607,"640330",64,53,"M"
"579",608,"720831",67,45,"M"
"580",609,"620902",52,55,"M"
"581",610,"795810",74,38,"F"
"582",611,"521013",36,65,"M"
"583",612,"606110",36,57,"F"
"584",613,"775810",1,40,"F"
"585",614,"475203",14,70,"F"
"586",615,"495913",68,68,"F"
"587",616,"750101",58,42,"M"
"588",617,"740314",70,43,"M"
"589",618,"325316",57,85,"F"
"590",619,"200907",6,97,"M"
"591",620,"185213",6,99,"F"
"592",621,"390317",54,78,"M"
"593",622,"316123",74,86,"F"
"594",623,"250904",24,92,"M"
"595",624,"325726",24,85,"F"
"596",625,"786124",60,39,"F"
"597",626,"800413",9,37,"M"
"598",627,"720411",17,45,"M"
"599",628,"705527",17,47,"F"
"600",629,"760310",16,41,"M"
"601",630,"520303",61,65,"M"
"602",631,"565322",70,61,"F"
"603",632,"460316",67,71,"M"
"604",633,"385612",67,79,"F"
"605",635,"275629",17,90,"F"
"606",636,"350217",17,82,"M"
"607",637,"706215",39,47,"F"
"608",638,"615203",54,56,"F"
"609",639,"780802",31,39,"M"
"610",640,"790415",26,38,"M"
"611",641,"625704",40,55,"F"
"612",642,"631025",40,54,"M"
"613",643,"495613",1,68,"F"
"614",644,"615423",35,56,"F"
"615",645,"251221",14,92,"M"
"616",646,"225929",34,95,"F"
"617",647,"290406",34,88,"M"
"618",648,"355928",70,82,"F"
"619",649,"785502",13,39,"F"
"620",651,"765127",54,41,"F"
"621",652,"381208",61,79,"M"
"622",653,"306121",1,87,"F"
"623",654,"425517",64,75,"F"
"624",655,"421210",32,75,"M"
"625",656,"560606",1,61,"M"
"626",657,"265710",8,91,"F"
"627",658,"261221",8,91,"M"
"628",659,"651207",24,52,"M"
"629",660,"230322",16,94,"M"
"630",661,"195115",16,98,"F"
"631",662,"450807",5,72,"M"
"632",663,"230120",24,94,"M"
"633",664,"805319",77,37,"F"
"634",665,"325405",62,85,"F"
"635",666,"820523",26,35,"M"
"636",667,"815720",26,36,"F"
"637",668,"426225",1,75,"F"
"638",669,"566219",12,61,"F"
"639",670,"590121",1,58,"M"
"640",671,"715227",10,46,"F"
"641",672,"296109",46,88,"F"
"642",673,"391029",36,78,"M"
"643",674,"275111",11,90,"F"
"644",675,"751112",50,42,"M"
"645",676,"530207",70,64,"M"
"646",677,"630524",5,54,"M"
"647",678,"335528",39,84,"F"
"648",679,"400319",8,77,"M"
"649",680,"405509",8,77,"F"
"650",681,"770115",15,40,"M"
"651",682,"791021",18,38,"M"
"652",683,"455829",76,72,"F"
"653",684,"765410",3,41,"F"
"654",685,"306213",72,87,"F"
"655",686,"716003",32,46,"F"
"656",687,"750128",32,42,"M"
"657",688,"540504",1,63,"M"
"658",689,"640802",70,53,"M"
"659",690,"421107",38,75,"M"
"660",691,"445113",38,73,"F"
"661",692,"365111",74,81,"F"
"662",693,"350317",74,82,"M"
"663",694,"360228",29,81,"M"
"664",695,"550627",28,62,"M"
"665",696,"526201",28,65,"F"
"666",697,"740501",1,43,"M"
"667",698,"540227",75,63,"M"
"668",699,"225422",26,95,"F"
"669",700,"291120",12,88,"M"
"670",702,"686107",31,49,"F"
"671",703,"590426",4,58,"M"
"672",704,"750501",54,42,"M"
"673",705,"381210",19,79,"M"
"674",706,"480805",1,69,"M"
"675",707,"411214",1,76,"M"
"676",708,"776127",50,40,"F"
"677",709,"341229",1,83,"M"
"678",710,"251128",23,92,"M"
"679",711,"635816",48,54,"F"
"680",712,"621204",54,55,"M"
"681",713,"805329",20,37,"F"
"682",714,"701008",31,47,"M"
"683",715,"525115",1,65,"F"
"684",716,"546204",1,63,"F"
"685",717,"680502",54,49,"M"
"686",718,"605228",54,57,"F"
"687",719,"740809",46,43,"M"
"688",720,"540906",29,63,"M"
"689",721,"400215",43,77,"M"
"690",722,"706125",62,47,"F"
"691",723,"575726",12,60,"F"
"692",724,"535202",65,64,"F"
"693",725,"561211",75,61,"M"
"694",726,"350213",16,82,"M"
"695",727,"305720",32,87,"F"
"696",728,"320120",32,85,"M"
"697",729,"695317",63,48,"F"
"698",730,"730814",63,44,"M"
"699",731,"795122",74,38,"F"
"700",732,"780705",74,39,"M"
"701",733,"780728",46,39,"M"
"702",734,"855114",46,32,"F"
"703",735,"731126",1,44,"M"
"704",736,"775426",1,40,"F"
"705",737,"521104",74,65,"M"
"706",738,"200326",25,97,"M"
"707",739,"420416",72,75,"M"
"708",740,"231107",55,94,"M"
"709",741,"410709",74,76,"M"
"710",742,"516015",1,66,"F"
"711",743,"410217",1,76,"M"
"712",744,"400718",26,77,"M"
"713",745,"665214",52,51,"F"
"714",746,"620416",52,55,"M"
"715",747,"535820",24,64,"F"
"716",748,"361015",25,81,"M"
"717",749,"335729",25,84,"F"
"718",750,"565929",70,61,"F"
"719",751,"590309",70,58,"M"
"720",752,"441220",72,73,"M"
"721",753,"405924",72,77,"F"
"722",754,"475604",63,70,"F"
"723",755,"471121",72,70,"M"
"724",756,"200513",31,97,"M"
"725",757,"706220",71,47,"F"
"726",758,"615726",68,56,"F"
"727",759,"550520",29,62,"M"
"728",760,"365825",57,81,"F"
"729",762,"370420",21,80,"M"
"730",763,"275824",75,90,"F"
"731",764,"556013",49,62,"F"
"732",765,"691231",65,48,"M"
"733",766,"265703",1,91,"F"
"734",767,"230616",1,94,"M"
"735",768,"315923",32,86,"F"
"736",769,"771215",40,40,"M"
"737",772,"441210",64,73,"M"
"738",773,"351030",4,82,"M"
"739",774,"730303",70,44,"M"
"740",775,"406130",51,77,"F"
"741",776,"535503",1,64,"F"
"742",777,"610520",1,56,"M"
"743",778,"400604",13,77,"M"
"744",779,"445612",69,73,"F"
"745",780,"240226",3,93,"M"
"746",781,"450920",72,72,"M"
"747",782,"635318",5,54,"F"
"748",783,"715325",27,46,"F"
"749",784,"641228",27,53,"M"
"750",785,"340909",63,83,"M"
"751",786,"780906",53,39,"M"
"752",787,"471208",3,70,"M"
"753",788,"740903",47,43,"M"
"754",789,"310921",4,86,"M"
"755",790,"675509",63,50,"F"
"756",791,"505929",68,67,"F"
"757",793,"780204",21,39,"M"
"758",794,"795716",21,38,"F"
"759",796,"190830",1,98,"M"
"760",797,"480127",8,69,"M"
"761",798,"405212",27,77,"F"
"762",799,"360219",27,81,"M"
"763",803,"510215",35,66,"M"
"764",804,"565123",35,61,"F"
"765",806,"800422",60,37,"M"
"766",807,"696021",53,48,"F"
"767",808,"631128",31,54,"M"
"768",809,"191015",49,98,"M"
"769",810,"455924",58,72,"F"
"770",811,"400528",58,77,"M"
"771",812,"401206",39,77,"M"
"772",813,"640129",70,53,"M"
"773",814,"591001",19,58,"M"
"774",815,"646027",22,53,"F"
"775",816,"585201",17,59,"F"
"776",818,"660427",54,51,"M"
"777",819,"580708",74,59,"M"
"778",820,"606106",74,57,"F"
"779",821,"480512",49,69,"M"
"780",822,"595508",37,58,"F"
"781",823,"561024",41,61,"M"
"782",824,"520905",27,65,"M"
"783",825,"770402",74,40,"M"
"784",826,"780123",1,39,"M"
"785",827,"655904",10,52,"F"
"786",828,"581210",10,59,"M"
"787",829,"570519",24,60,"M"
"788",830,"480827",69,69,"M"
"789",831,"480502",2,69,"M"
"790",832,"236223",67,94,"F"
"791",833,"600611",5,57,"M"
"792",834,"221217",54,95,"M"
"793",835,"436020",28,74,"F"
"794",836,"480614",28,69,"M"
"795",837,"741014",71,43,"M"
"796",838,"685204",71,49,"F"
"797",839,"555518",47,62,"F"
"798",840,"370426",20,80,"M"
"799",841,"810210",69,36,"M"
"800",842,"335703",12,84,"F"
"801",843,"575903",54,60,"F"
"802",844,"450114",22,72,"M"
"803",845,"535130",22,64,"F"
"804",846,"491201",35,68,"M"
"805",847,"791225",49,38,"M"
"806",849,"395606",26,78,"F"
"807",850,"690921",19,48,"M"
"808",851,"190616",25,98,"M"
"809",852,"165604",25,101,"F"
"810",853,"490602",70,68,"M"
"811",854,"416102",72,76,"F"
"812",855,"300128",58,87,"M"
"813",856,"190122",23,98,"M"
"814",857,"480221",32,69,"M"
"815",858,"595329",47,58,"F"
"816",859,"685729",1,49,"F"
"817",860,"671208",1,50,"M"
"818",861,"565913",1,61,"F"
"819",862,"520105",30,65,"M"
"820",863,"686129",54,49,"F"
